material_number,material_description,our_cost
104X149CC032,SHUNT 5A 100MV,22.55
IS200HFPAG2A,FAN/XFRMR CARD,345.48
IS200HFPAG1A,CARD-HF AC SUPPLY,346.36
104X150AB007,AC STARTER,252.25
IS200GGXIG1A,EXPANDER BOARD,1646.31
IS200TFBAH1A,TEMPERATURE FEEDBACK,1143.57
104X149CC058,SHUNT 25 AMP/100MV PHEN BASE,29.68
104X149CC033,SHUNT 10 AMP/100MV,30.13
104X123DE018,RES 50OHM 5% 40 WATT,9.42
68A7053P010E,CAPACITOR,6.82
IS200IGDMH1B,IGBT GATE DRIVER,813.68
104X125DC059,DUAL SCR MODULE 1600V 250A,90.71
68A7052P1B10,CAP-METALLIZED-MYLAR,6.67
IS200ISBDG1A,INSYNC DELAY,446.39
36C774300AA001,CARD FRAME.,14.58
104X125DC060,DUAL SCR MODULE 1200V 48A,14.06
104X125DC058,DUAL SCR MODULE 1600V 250A,246.82
104X125DC056,DUAL SCR MODULE 1600V 95A,39.63
IS200ICBDH1B,INN.CTRL BASE CRD,196.39
104X125DC071,DIODE/SCR MODULE 1600V 92A,242.22
104X136AA018,RES 2.5K 5% 225W WW,39.01
36C774122BAG01,MOTOR BRKT. AC500,51.27
36B605796AAG118,ARC-PL CABLE G,54.64
104X109AD104,FUSE-2AG 3.AMP  250V,1.03
104X125DC065,DIODE BK-1600V 45A,76.60
